Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,govcat_cons,govcat_rec,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
DISTRICT 19 - TEHACHAPI,KERN,CA1502247,MADERA CO SA NO 19-ROLLING HILLS,C,CSA,63,82,NA,NA,19-Mar,BAKMAN WATER-ROLLING HILLS,CA2010009,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Voluntary Consolidation,Managerial,Voluntary,NA,NA,NA,Additional cases,NA,"confirm ""managerial consolidation"" definition",No,No,NA,Yes,GW,GW,GW,GW,1106,Community water system,NA,NA,NA,Not in top 50,General purpose government,IOU,83.04498269896193,16.955017301038062,22.529644268774703,30.8300395256917,4.009034443817053,0,0,42.631281761716544,NA,3.121387283236994,96.878612716763,63.285024154589365,2.737520128824477,2.8180354267310785,0.7648953301127215,0.08051529790660225,26.44927536231884,107813
NA,SAN BERNARDINO,CA3610060,SBDNO COUNTY SERVICE AREA W-1,C,CSA,647,1515,NA,NA,15-Jul,BDVWA - GOAT MOUNTAIN ID,CA3610060,Special Act District,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Annexed into larger system july 2015. Was county service area now part of special act district,Yes,No,Yes,NA,Yes,NA,GW,GW,GW,1300,Community water system,NA,NA,NA,Not in top 50,General purpose government,Special district,25.816023738872403,74.1839762611276,73.45767575322813,0,0,6.743185078909613,0,18.938307030129124,34818,8.800362473947162,91.19963752605284,78.70262526878975,3.499436076680644,0.25026561591205276,0.07002366338177955,0,14.115128417140225,NA
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610061,DWP - SUGARLOAF/ERWIN LAKE,C,City,4000,3422,11/27/19,NA,19-Nov,Big Bear Lake DWP - Big Bear System,CA3610044,City,source/storage capacity,Capacity,1,0,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.886257,34.246618,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,14368,Community water system,NA,NA,NA,NA,General purpose government,General purpose government,34.77157360406091,65.22842639593908,69.78155339805825,0.48543689320388345,0,0.48543689320388345,0,28.762135922330096,47222,42.55908207149089,57.44091792850911,65.63087970706528,0.33407624381777323,1.6098477157328488,1.4092893177904984,0.20158203453333612,30.355545064711603,NA
DISTRICT 24 - TULARE,TULARE,CA5410033,PRATT MUTUAL WATER CO,C,MWC,279,1500,NA,16-May,16-May,City of Tulare,CA5410015,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/PRATT_MUTUAL.PDF,-119.355187,36.167302,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65982,Community water system,1023.824278,1,NA,NA,Nonprofit private,General purpose government,53.432282003710576,46.567717996289424,16.75977653631285,2.281191806331471,0,0.74487895716946,0,77.79329608938548,50511,45.39060137049965,54.60939862950037,29.242951422919045,1.9494689916260324,2.235276836650216,0.5857109452846478,0.1752151039636119,62.977930340066735,NA
"
DISTRICT 11 - MERCED",MADERA,CA2010013,HILLVIEW WATER CO- COARSEGOLD,C,IOU,25,83,NA,20-Jun,20-Jun,CAL AM - COARSEGOLD,CA2010013,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7036,37.217101,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,83,Community water system,NA,NA,NA,NA,IOU,IOU,9.214659685863873,90.78534031413612,73.84997927890593,0.7045171985080813,0,2.818068794032325,0,17.239950269374223,82641,9.214659685863873,90.78534031413614,73.84997927890593,0.7045171985080813,0,2.818068794032325,0,17.239950269374223,82641
LPA87 - YOLO COUNTY,YOLO,CA5700712,DUNNIGAN WATER WORKS,C,IOU,173,400,16-Aug,NA,16-Aug,CAL AM - DUNNIGAN,CA5700712,IOU,None,None,0,0,0,0,0,None,Managerial,Managerial,Voluntary,NA,-121.953173,38.8646105,Inst. diversity paper / tool,"Dunnigan water works, an IOU was acquired by Cal am another IOU in 2015 (end)","Yes, was added to map last refresh",No,No,NA,Yes,NA,GW,GW,GW,400,Community water system,NA,NA,NA,NA,IOU,IOU,41.389728096676734,58.610271903323266,44.26028238182934,0,2.148557397176182,0,0,53.22283609576427,31111,43.98838938300312,56.011610616996876,41.11757250876841,1.6220052890091736,1.3060523196043257,6.841554314199734e-6,0,52.666545816537806,NA
"
DISTRICT 11 - MERCED",MADERA,CA2010014,HILLVIEW WATER CO-GOLDSIDE,C,IOU,309,1020,NA,20-Jun,20-Jun,CAL AM - GOLDSIDE,CA2010014,IOU,"IRON, MANGANESE",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7172959,37.34688678,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,1020,Community water system,NA,NA,NA,NA,IOU,IOU,26.42706131078224,73.57293868921776,82.23938223938224,0,1.698841698841699,0,0,14.208494208494207,68814,27.623538710593753,72.37646128940624,86.1810807027507,0,0.937726749433685,0,0,10.497568311919833,67786.52728573095
District 11 - Merced,MERCED,CA2410008,"MEADOWBROOK WATER COMPANY OF MERCED, INC",C,Private (other),1713,5650,NA,Sep.2019,19-Sep,CAL AM - MEADOWBROOK,CA2410008,IOU,Coliforn,Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-120.5265213,37.3210238,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,5650,Community water system,NA,NA,NA,NA,Private ancillary,IOU,28.70478413068845,71.29521586931156,37.96320981071714,1.3596374300186616,39.562783257797925,0,0,15.542521994134898,53356,30.786688366943576,69.21331163305642,33.76363474260845,1.8894223300299062,22.419259780179477,0.17507272157473558,0,38.301060511509185,63555.72890733102
"
DISTRICT 11 - MERCED",MADERA,CA2010007,HILLVIEW WC-OAKHURST/SIERRA LAKES,C,IOU,1032,3403,NA,20-Jun,20-Jun,CAL AM - OAKHURST,CA2010007,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.6491003,37.3347617,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,3403,Community water system,NA,NA,NA,NA,IOU,IOU,56.43564356435643,43.56435643564357,81.21149897330595,0,0,4.1067761806981515,0,9.650924024640657,31765,20.23182769775088,79.76817230224913,75.09739478722868,0,2.5780280877374824,0.4171845057466858,0,21.002321313365318,71726.91500778493
"
DISTRICT 11 - MERCED",MADERA,CA2010012,HILLVIEW WATER CO-RAYMOND,C,IOU,96,317,NA,20-Jun,20-Jun,CAL AM - RAYMOND,CA2010012,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.9060009,37.2193176,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,317,Community water system,NA,NA,NA,NA,IOU,IOU,19.20634920634921,80.7936507936508,75.64356435643565,0,1.7161716171617163,0.33003300330033003,0.33003300330033003,15.247524752475247,44276,19.20634920634921,80.7936507936508,75.64356435643563,0,1.7161716171617163,0.33003300330033003,0.33003300330033003,15.247524752475247,44276
District 09- Sacramento,SACRAMENTO,CA3410023,FRUITRIDGE VISTA WATER COMPANY,C,IOU,4761,15712,NA,19-Nov,19-Nov,CAL AM FRUITRIDGE VISTA,CA3410023,IOU,None,None,0,0,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-121.460664,38.522295,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,15385,Community water system,NA,NA,NA,NA,IOU,IOU,52.800000000000004,47.199999999999996,14.273281114012185,1.9147084421235856,32.02785030461271,0,0,51.784160139251526,54837,59.889132654128595,40.11086734587141,14.660414385108247,11.436228888262685,18.44067181293457,0.3056498889866638,1.8161855849154986,45.85386173359783,43196.25236275786
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400140,ASPEN GROVE MH & RV PARK,C,MHP,35,55,7/12/18,NA,18-Jul,Cal American Water-Rosemont,CA3410010,IOU,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.308278,38.585602,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,53563,Community water system,16.72760602,2,1,NA,Private ancillary,IOU,25.14177693761815,74.85822306238185,53.7125748502994,7.544910179640718,23.41317365269461,0,0,14.73053892215569,64219,46.38890502120481,53.611094978795215,44.50738766927182,13.37794145969831,10.920802997834372,0.2140131426137312,0.7708652686921258,22.690011664781956,NA
DISTRICT 06 - SANTA BARBARA,VENTURA,CA5610010,RIO PLAZA WATER COMPANY,C,IOU,516,1716,NA,19-May,19-May,CAL AMERICAN WC - RIO PLAZA,CA5610010,IOU,None,None,0,0,0,0,0,NA,Managerial,Managerial,Voluntary,NA,-119.1701857,34.2295363,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1716,Community water system,1397.193477,7,NA,NA,IOU,IOU,34.93975903614458,65.06024096385542,13.359528487229863,0,0,0,0,84.21741977734119,74554,38.30532060594331,61.69467939405669,12.663129177978105,0.002500271797165578,0.20471282721762313,0.00292320334494483,0.0027490550605651382,85.09711347452952,69793.12229111764
DISTRICT 24 - TULARE,TULARE,CA5400507,VISALIA/ SEQUOIA SOUTH KOA,NC,MHP,83,169,11/20/17,NA,17-Nov,Cal Water Service-Visalia,CA5410016,IOU,Nitrate/Bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.406193,36.349414,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,141165,Community water system,236.8240248,1,NA,NA,Private ancillary,IOU,31.03180760279286,68.96819239720713,9.118915588416513,0,5.56582460464161,0,0,76.48387759293489,59750,41.999174906546784,58.00082509345319,37.37143479429046,2.2085400121710665,5.6975882130002296,0.41947342347970623,0.03494044422763701,52.602877894620015,NA
LPA57 - MONTEREY COUNTY,MONTEREY,CA2702624,UNI-KOOL WS,NTNC,Private (other),6,180,7/12/17,NA,17-Jul,Cal-Water,CA2710010,IOU,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.7617451,35.81280886,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,106858,Community water system,NA,NA,NA,Not in top 50,Private ancillary,IOU,78.94736842105263,21.052631578947366,0,0,0,0,0,100,NA,51.17130962964907,48.828690370350934,15.885494565238814,1.363236674554194,7.150725113589042,0.10559617741840857,0.09351785936581118,73.48913207785999,NA
LPA49 - LA COUNTY,LOS ANGELES,CA1900009,ADAMS RANCH MUTUAL,C,MWC,177,500,NA,March.2016,16-Mar,CAL/AM WATER COMPANY - SAN MARINO,CA1910139,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.0668405,34.0873692,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,47626,Community water system,86.62728308,2,NA,NA,Nonprofit private,IOU,43.5960591133005,56.40394088669951,1.4647137150466045,0.06657789613848203,68.641810918774965,0,0,29.82689747003995,72500,38.63918458809168,61.360815411908334,14.307066217955608,0.6972302324794688,54.762073030840675,0.4525159617204973,0.15247495149261278,27.854631541595303,NA
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610853,CYA-INACTIVATED 20160108,C,State,1,1,NA,16-Jan,16-Jan,CALIFORNIA INSTITUTION FOR MEN,CA3610850,State,Coliform,Quality,0,1,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-117.656878,33.979422,Tool,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,10667,Community water system,NA,NA,NA,NA,Public ancillary,Public ancillary,21.951219512195124,78.04878048780488,29.352226720647774,0,45.1417004048583,0,0,23.076923076923077,NA,79.58211928619892,20.41788071380109,30.16801132520212,18.60157104218786,4.0520696934641425,0.9174379300589863,0.6875299222825256,39.84409037826743,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900726,BENTLEY TRAILER COURT,C,MHP,28,84,9/4/18,NA,18-Sep,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.258456,37.950917,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,10.70729565,2,1,NA,Private ancillary,IOU,70.78313253012048,29.21686746987952,1.1059907834101383,11.889400921658986,0,0,0,87.00460829493088,54667,58.203223629244384,41.796776370755595,17.29940188010387,8.982144602384686,9.41312769793857,0.1463785595458834,0.21758001853046982,60.74160419561411,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901334,BJJ COMPANY LLC,NTNC,Private (other),1,40,6/19/19,NA,19-Jun,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.2613068,37.9611702,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,NA,NA,NA,NA,Private ancillary,IOU,45.83333333333333,54.166666666666664,0,16.47577092511013,6.5198237885462555,0,0,77.00440528634361,37500,58.203223629244384,41.796776370755595,17.29940188010387,8.982144602384686,9.41312769793857,0.1463785595458834,0.21758001853046982,60.74160419561411,NA
LPA67 - SAN DIEGO COUNTY,SAN DIEGO,CA3705026,ERRECA'S ASSOCIATES,NC,Private (other),7,25,8/26/19,NA,19-Aug,Lakeside WD,CA3710013,Irrigation District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.9462983,32.90652,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,35500,Community water system,512.5850887,1,NA,"PWSID was right, name wrong - changed",Private ancillary,Special district,3.203661327231121,96.79633867276888,85.10301109350237,0,5.309033280507132,1.2678288431061806,0,8.32012678288431,120754,40.407153661573204,59.59284633842679,65.00944662598772,1.9315504883731123,1.1420874356632469,1.3826548873219213,0.4880620657391502,25.40650487642427,NA
NA,SOLANO,CA4810701,TRAVIS AIR FORCE BASE - DISTRIBUTION,C,Federal,2104,7190,19-Jul,NA,19-Jul,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,CA4810701,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Additional cases,https://www.calwater.com/latest-news/2019-0701-regulated-water-service-to-travis-air-force-base-begins/,Yes,No,Yes,NA,Yes,NA,SWP,SWP,SWP,7190,Community water system,NA,NA,NA,NA,Public ancillary,IOU,100,0,39.50310559006211,12.919254658385093,1.9875776397515528,0,17.888198757763977,21.73913043478261,62031,79.14687686901277,20.853123130987235,48.70237869342443,11.147917439498748,11.274282059761203,0,7.037532706244526,15.10450932577564,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901330,CHEROKEE FREIGHT LINES WATER SYSTEM,NC,Private (other),1,50,9/19/19,NA,19-Sep,California Water Service- Stockton,CA3910001,IOU,bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.253866,37.991519,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,NA,NA,NA,NA,Private ancillary,IOU,16.752577319587626,83.24742268041237,32.874015748031496,1.1811023622047243,6.791338582677166,0,4.23228346456693,54.92125984251969,42708,58.203223629244384,41.796776370755595,17.29940188010387,8.982144602384686,9.41312769793857,0.1463785595458834,0.21758001853046982,60.74160419561411,NA
DISTRICT 18 - SONOMA,SONOMA,CA4910024,GEYSERVILLE WATER WORKS,C,IOU,307,1014,NA,16-Nov,16-Nov,CALIFORNIA-AMERICAN GEYSERVILLE,CA4910024,IOU,bacteriological,Quality,0,1,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-122.9045833,38.7070558,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1014,Community water system,NA,NA,NA,NA,IOU,IOU,38.23529411764706,61.76470588235294,74.22096317280453,0,1.9830028328611897,0,0,19.97167138810198,111085,34.33615843148334,65.66384156851667,73.6099687436817,0,1.5710154420694091,0,0,18.8143091077062,114163.10142397508
DISTRICT 18 - SONOMA,SONOMA,CA4900890,REDWOOD ADVENTIST ACADEMY,NTNC,School,3,140,NA,17-Nov,17-Nov,CALIFORNIA-AMERICAN LARKFIELD,CA4910023,IOU,Fire impacted,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.740314,38.502131,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7524,Community water system,NA,NA,NA,NA,Public ancillary,IOU,11.951219512195122,88.04878048780488,83.96396396396396,0.990990990990991,1.8018018018018018,0,0,7.837837837837839,128375,28.458226564115236,71.54177343588474,68.19432224099951,0.4003020126328253,2.160191474967392,0,0.33971904020122995,23.758854674275145,NA
DISTRICT 05 - MONTEREY,MONTEREY,CA2710706,CAMP ROBERTS WELL 6A,NC,State,6,115,3/2/18,NA,18-Mar,Camp Roberts-National Guard,CA2710705,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.6681888,36.6810245,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,385,Non-Transient non-community system,NA,NA,NA,Not in top 50,Public ancillary,Public ancillary,43.4965034965035,56.50349650349651,24.40851735015773,0,2.050473186119874,0,0,71.92429022082018,63171,14.275326540645922,85.72467345935408,71.47724063826921,11.091834682831536,1.3455419374026438,0.3469630296062107,0.44893075965731266,10.940594846432345,70353.07876395485
District 11 - Merced,MERCED,CA2410306,CDPR-MEDEIROS,NC,State,3,0,4/25/18,NA,18-Apr,CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one),CA2410305,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.0236627,37.06508001,Both,Changed system type to NC (in tool) from NP (in excel data) and also changed population served to zero was 540 listed as ish in excel data. Look into if this should be listed as regionalization,NA,No,No,3,CDPR,SWP,NA,SWP,SWP,171,Transient non-community system,NA,NA,NA,NA,Public ancillary,Public ancillary,63.654223968565816,36.345776031434184,42.44897959183673,0,0,0,1.1661807580174928,55.27696793002915,53150,NA,NA,NA,NA,NA,NA,NA,NA,NA
