Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,govcat_cons,govcat_rec,Vetted_address,GEOID,NAME,Race.estimate.total.x,B03002_001M,Race.white.alone.x,B03002_003M,Race.black.alone.x,B03002_004M,Race.native.alone.x,B03002_005M,Race.asian.alone.x,B03002_006M,Race.PI.alone.x,B03002_007M,Race.hispanicorlatino.x,B03002_012M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,Households.total.x,AC_PHONE_N,AC_EMAIL,Households.total.y,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.hispanicorlatino.y,Race.native.alone.y,Race.PI.alone.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
DISTRICT 19 - TEHACHAPI,KERN,CA1502247,MADERA CO SA NO 19-ROLLING HILLS,C,CSA,63,82,NA,NA,19-Mar,BAKMAN WATER-ROLLING HILLS,CA2010009,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Voluntary Consolidation,Managerial,Voluntary,NA,NA,NA,Additional cases,NA,"confirm ""managerial consolidation"" definition",No,No,NA,Yes,GW,GW,GW,GW,1106,Community water system,NA,NA,NA,Not in top 50,General purpose government,IOU,1262 ROSAMOND BLVD ROSAMOND CA 93560,060290058042,"Block Group 2, Census Tract 58.04, Kern County, California",1771,790,399,220,546,612,0,13,71,94,0,13,755,527,NA,NA,578,216,98,64,480,214,578,559-255-0324,TIM@BAKMANWATER.COM,15.133469094382235,1631584.703472632,1.2246737995453831,1.1896831195583724,43.4584245438676,11.494438375733097,0.33241145987660403,0.03499067998701095,27.502674469790605,15.133469094382235,14.661094914557587,0.4723741798246478
NA,SAN BERNARDINO,CA3610060,SBDNO COUNTY SERVICE AREA W-1,C,CSA,647,1515,NA,NA,15-Jul,BDVWA - GOAT MOUNTAIN ID,CA3610060,Special Act District,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Inst. diversity paper,Annexed into larger system july 2015. Was county service area now part of special act district,Yes,No,Yes,NA,Yes,NA,GW,GW,GW,1300,Community water system,NA,NA,NA,Not in top 50,General purpose government,Special district,622 Jemez Trail Yucca Valley CA 92284,060710104352,"Block Group 2, Census Tract 104.35, San Bernardino County, California",697,179,512,153,0,13,47,31,0,13,0,13,132,93,34818,11116,337,73,250,62,87,50,337,760-364-2315,mwest@bdvwa.org,154.44824076698578,NA,0.8817384831124654,12.329250451591205,352.32106492100854,49.73057075423634,0.24670811652338806,0,277.28592746779077,154.44824076698578,140.8562357448564,13.59200502212938
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610061,DWP - SUGARLOAF/ERWIN LAKE,C,City,4000,3422,11/27/19,NA,19-Nov,Big Bear Lake DWP - Big Bear System,CA3610044,City,source/storage capacity,Capacity,1,0,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.886257,34.246618,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,14368,Community water system,NA,NA,NA,NA,General purpose government,General purpose government,41972 GARSTIN DRIVE BIG BEAR LAKE CA 92315,060710112031,"Block Group 1, Census Tract 112.03, San Bernardino County, California",824,172,575,159,4,9,4,9,0,13,0,13,237,92,47222,13114,394,82,257,79,137,51,394,909-866-5050,rlamson@bbldwp.com,2303.5236508701905,NA,89.80805298395997,18.637003184994306,5578.667603542661,1693.4349584038591,78.6195666117659,11.245591655073401,3661.328624138105,2303.5236508701905,1323.1651297601427,980.3585211100476
DISTRICT 24 - TULARE,TULARE,CA5410033,PRATT MUTUAL WATER CO,C,MWC,279,1500,NA,16-May,16-May,City of Tulare,CA5410015,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/PRATT_MUTUAL.PDF,-119.355187,36.167302,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65982,Community water system,1023.824278,1,NA,NA,Nonprofit private,General purpose government,538 W. MATHENY TULARE CA 93274,061070031002,"Block Group 2, Census Tract 31, Tulare County, California",2148,399,360,105,49,53,16,17,0,13,0,13,1671,396,50511,8912,539,80,251,62,288,65,539,559-684-4286,tdoyle@ci.tulare.ca.us,14981.24125095553,NA,1152.6062527012236,1005.2312592128956,51564.362579291,32474.168345485326,302.0181154931685,90.34855150147852,15078.941500599913,14981.24125095553,8181.165754381454,6800.07549657408
"
DISTRICT 11 - MERCED",MADERA,CA2010013,HILLVIEW WATER CO- COARSEGOLD,C,IOU,25,83,NA,20-Jun,20-Jun,CAL AM - COARSEGOLD,CA2010013,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7036,37.217101,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,83,Community water system,NA,NA,NA,NA,IOU,IOU,46109 Rd 417 Coarsegold CA 93614,060390001102,"Block Group 2, Census Tract 1.10, Madera County, California",2413,538,1782,517,17,30,68,54,0,13,0,13,416,82,82641,15275,955,249,867,252,88,63,955,559-683-4322,jim.foster@amwater.com,33.42018035302133,2761877.1245540357,0,0.5949142052370289,84.44282219040886,14.55790055168259,2.3796568209481155,0,62.36100669014032,33.42018035302133,30.340624467088475,3.0795558859328556
LPA87 - YOLO COUNTY,YOLO,CA5700712,DUNNIGAN WATER WORKS,C,IOU,173,400,16-Aug,NA,16-Aug,CAL AM - DUNNIGAN,CA5700712,IOU,None,None,0,0,0,0,0,None,Managerial,Managerial,Voluntary,NA,-121.953173,38.8646105,Inst. diversity paper / tool,"Dunnigan water works, an IOU was acquired by Cal am another IOU in 2015 (end)","Yes, was added to map last refresh",No,No,NA,Yes,NA,GW,GW,GW,400,Community water system,NA,NA,NA,NA,IOU,IOU,5160 County Road 99W Dunnigan CA 95937,061130114002,"Block Group 2, Census Tract 114, Yolo County, California",1629,420,721,294,0,13,0,13,35,55,0,13,867,367,31111,18291,662,160,388,120,274,123,662,916-568-4278,victoria.kunda@amwater.com,115.6075952527522,NA,4.023683437091765,4.997070728559072,308.0798048205877,162.25499155733505,2.1077447177881037e-5,0,126.67493713197736,115.6075952527522,64.75367609664534,50.85391915610687
"
DISTRICT 11 - MERCED",MADERA,CA2010014,HILLVIEW WATER CO-GOLDSIDE,C,IOU,309,1020,NA,20-Jun,20-Jun,CAL AM - GOLDSIDE,CA2010014,IOU,"IRON, MANGANESE",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7172959,37.34688678,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,1020,Community water system,NA,NA,NA,NA,IOU,IOU,45735 N Oakview Dr Oakhurst CA 93644,060390001033,"Block Group 3, Census Tract 1.03, Madera County, California",1295,366,1065,378,0,13,0,13,22,36,0,13,184,162,68814,20253,473,117,348,116,125,91,473,559-683-4322,jim.foster@amwater.com,53.229228002786854,3608224.516409305,1.3021818170540767,0,138.86580689315886,14.577532940508032,0,0,119.67605310711919,53.229228002786854,38.52543160008681,14.703796402700036
District 11 - Merced,MERCED,CA2410008,"MEADOWBROOK WATER COMPANY OF MERCED, INC",C,Private (other),1713,5650,NA,Sep.2019,19-Sep,CAL AM - MEADOWBROOK,CA2410008,IOU,Coliforn,Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-120.5265213,37.3210238,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,5650,Community water system,NA,NA,NA,NA,Private ancillary,IOU,2272 MEADOWBROOK AVENUEMERCED CA 95340,060470009031,"Block Group 1, Census Tract 9.03, Merced County, California",3751,779,1424,644,51,53,0,13,1484,519,0,13,583,298,53356,13018,857,260,611,263,246,123,857,916-568-4278,audie.foster@amwater.com,2832.695879425592,180034051.38968655,2288.3521788944886,192.8548822828808,10207.081774027105,3909.4205667293463,17.869815855148055,0,3446.2818080618713,2832.695879425592,1960.602626643583,872.0932527820088
"
DISTRICT 11 - MERCED",MADERA,CA2010007,HILLVIEW WC-OAKHURST/SIERRA LAKES,C,IOU,1032,3403,NA,20-Jun,20-Jun,CAL AM - OAKHURST,CA2010007,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.6491003,37.3347617,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,3403,Community water system,NA,NA,NA,NA,IOU,IOU,40041 CA 49 Oakhurst CA 93644,060390001032,"Block Group 2, Census Tract 1.03, Madera County, California",974,378,791,374,0,13,40,61,0,13,0,13,94,115,31765,30191,404,130,176,118,228,98,404,559-683-4322,jim.foster@amwater.com,323.11935176742276,23176354.281592496,22.08154632322529,0,856.5285393226417,179.8908759692158,3.5733043533524698,0,643.2306186404074,323.11935176742276,257.74640125974827,65.37295050767453
"
DISTRICT 11 - MERCED",MADERA,CA2010012,HILLVIEW WATER CO-RAYMOND,C,IOU,96,317,NA,20-Jun,20-Jun,CAL AM - RAYMOND,CA2010012,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.9060009,37.2193176,Both,NA,NA,No,No,NA,Hillview,NA,GW,GW,GW,317,Community water system,NA,NA,NA,NA,IOU,IOU,32281 Front St Raymond CA 93653,060390001091,"Block Group 1, Census Tract 1.09, Madera County, California",1515,288,1146,287,0,13,5,10,26,28,5,9,231,109,44276,11191,630,118,509,125,121,52,630,559-683-4322,jim.foster@amwater.com,2.2620887452705203,100156.24128559756,0.09335604345560877,0,5.439784839817204,0.8294325399325241,0.017953085279924764,0.017953085279924764,4.1148471461587555,2.2620887452705203,1.827624081496341,0.4344646637741793
District 09- Sacramento,SACRAMENTO,CA3410023,FRUITRIDGE VISTA WATER COMPANY,C,IOU,4761,15712,NA,19-Nov,19-Nov,CAL AM FRUITRIDGE VISTA,CA3410023,IOU,None,None,0,0,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-121.460664,38.522295,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,15385,Community water system,NA,NA,NA,NA,IOU,IOU,4411 47th Ave Sacramento 95824,060670046043,"Block Group 3, Census Tract 46.04, Sacramento County, California",1149,606,164,131,22,37,0,13,368,366,0,13,595,463,54837,26239,375,127,177,80,198,110,375,916-568-4278,audie.foster@amwater.com,6930.021411631917,299350953.77616775,4252.182614918108,2637.047833842244,23058.718565424293,10573.312928529109,70.47894769696659,418.7891226514699,3380.5036935870894,6930.021411631917,2779.691695460164,4150.329716171754
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400140,ASPEN GROVE MH & RV PARK,C,MHP,35,55,7/12/18,NA,18-Jul,Cal American Water-Rosemont,CA3410010,IOU,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.308278,38.585602,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,53563,Community water system,16.72760602,2,1,NA,Private ancillary,IOU,10299 McCracken Dr. Rancho Cordova CA 95670,060670090081,"Block Group 1, Census Tract 90.08, Sacramento County, California",1670,676,897,528,126,106,0,13,391,446,0,13,246,123,64219,7522,529,153,396,120,133,114,529,916-568-4278,audie.foster@amwater.com,20546.552835510316,NA,6253.907552624974,7661.012578468171,57266.00465062087,12993.663135180452,122.55677620211918,441.4437406192538,25487.60269255506,20546.552835510316,11015.231955513776,9531.320879996545
DISTRICT 06 - SANTA BARBARA,VENTURA,CA5610010,RIO PLAZA WATER COMPANY,C,IOU,516,1716,NA,19-May,19-May,CAL AMERICAN WC - RIO PLAZA,CA5610010,IOU,None,None,0,0,0,0,0,NA,Managerial,Managerial,Voluntary,NA,-119.1701857,34.2295363,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1716,Community water system,1397.193477,7,NA,NA,IOU,IOU,600 Simon Way Oxnard CA 93036,061110050061,"Block Group 1, Census Tract 50.06, Ventura County, California",1527,435,204,112,0,13,0,13,0,13,0,13,1286,393,74554,14626,415,103,270,80,145,81,415,812-565-8080,Mike.phillips@amwater.com,296.70064142443135,20707664.15078838,2.1786306594729488,0.0266088298830916,1064.2374926300645,905.6353867418939,0.031109825982719035,0.029256474647578325,134.76576845222027,296.70064142443135,183.04850948691268,113.65213193751867
DISTRICT 24 - TULARE,TULARE,CA5400507,VISALIA/ SEQUOIA SOUTH KOA,NC,MHP,83,169,11/20/17,NA,17-Nov,Cal Water Service-Visalia,CA5410016,IOU,Nitrate/Bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.406193,36.349414,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,141165,Community water system,236.8240248,1,NA,NA,Private ancillary,IOU,7480 AVENUE 308 VISALIA CA 93291,061070009012,"Block Group 2, Census Tract 9.01, Tulare County, California",4869,1151,444,272,0,13,0,13,271,136,0,13,3724,979,59750,38977,1289,289,889,179,400,258,1289,408-367-8314,sjames@calwater.com,38126.127239931586,NA,6631.615024799834,2570.5941847757513,116393.37166677698,61226.26317530595,488.2392608340878,40.668361111896466,43497.87299732571,38126.127239931586,22113.468375340133,16012.658864591443
LPA57 - MONTEREY COUNTY,MONTEREY,CA2702624,UNI-KOOL WS,NTNC,Private (other),6,180,7/12/17,NA,17-Jul,Cal-Water,CA2710010,IOU,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.7617451,35.81280886,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,106858,Community water system,NA,NA,NA,Not in top 50,Private ancillary,IOU,730 W. Market St. Salinas CA 93901,060530018013,"Block Group 3, Census Tract 18.01, Monterey County, California",153,132,0,13,0,13,0,13,0,13,0,13,153,132,NA,NA,38,33,8,15,30,29,38,408-367-8314,sjames@calwater.com,29650.96654257606,NA,7388.44756332873,1408.5568283430944,103324.45235921496,75932.24326298901,109.10667202983568,96.62681604778521,16413.60026408586,29650.96654257606,14478.178644890815,15172.787897685248
LPA49 - LA COUNTY,LOS ANGELES,CA1900009,ADAMS RANCH MUTUAL,C,MWC,177,500,NA,March.2016,16-Mar,CAL/AM WATER COMPANY - SAN MARINO,CA1910139,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.0668405,34.0873692,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,47626,Community water system,86.62728308,2,NA,NA,Nonprofit private,IOU,9227 Pitkin St. Rosemead CA 91770,060374322021,"Block Group 1, Census Tract 4322.02, Los Angeles County, California",1502,461,22,17,1,3,0,13,1031,442,0,13,448,281,72500,15686,406,109,229,82,177,99,406,626-614-2533,jessica.taylor@amwater.com,16947.48728928105,NA,31057.286277743468,395.42109590002997,56713.13111220745,15797.233707007235,256.6359706742121,86.47331915328019,8113.985222499503,16947.48728928105,10399.11639253237,6548.370896748679
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610853,CYA-INACTIVATED 20160108,C,State,1,1,NA,16-Jan,16-Jan,CALIFORNIA INSTITUTION FOR MEN,CA3610850,State,Coliform,Quality,0,1,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-117.656878,33.979422,Tool,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,10667,Community water system,NA,NA,NA,NA,Public ancillary,Public ancillary,"14901 Central Avenue, Chino, CA 91710",060710001154,"Block Group 4, Census Tract 1.15, San Bernardino County, California",988,463,290,355,0,13,0,13,446,259,0,13,228,249,NA,NA,246,122,192,125,54,54,246,909-606-7032,Larry.Cain@cdcr.ca.gov,45.08599148479155,NA,231.9444538711643,1064.7722183764827,5724.098335358922,2280.7149140813103,52.51504928245779,39.35488883646854,1726.8466340767854,45.08599148479155,9.205603959999255,35.8803875247923
