"Regulating_agency","County","SystemID","System_Name","System_Type","Institution_type","Connections","Population","Inactivation_Date","Activity_date_from_tool","Date_combined","Receiving_Water_System","Receiving_System_ID","Receiving_System_Institution_Type","Issue_SWRCB","Issue_summary","Issue_capacity","Issue_quality","Issue_TMF","Issue_disaster","Issue_sustainability","Funding_Source","Consolidation_Type","Physical_or_Mangerial","Mandatory_or_voluntary","Story_link","long","lat","Data_source","Notes","Notes_Suzanne","Remove?","2016_proxydata_pop_con_type_county","Number_systems_involved","Unique_project","Consolidatedsystem_primary_source_combined","EPA_2021_source","Consolidatedsystem_primary_source_combinedFINAL","Receiving_2021_source","Receiving_2021_pop","Receiving_2021_systemtype","Distance(m)","Prox_ord","CES_Receiving_Polygon","DistNote","govcat_cons","govcat_rec"
"DISTRICT 19 - TEHACHAPI","KERN","CA1502247","MADERA CO SA NO 19-ROLLING HILLS","C","CSA",63,82,NA,NA,"19-Mar","BAKMAN WATER-ROLLING HILLS","CA2010009","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary Consolidation","Managerial","Voluntary",NA,NA,NA,"Additional cases",NA,"confirm ""managerial consolidation"" definition","No","No",NA,"Yes","GW","GW","GW","GW",1106,"Community water system",NA,NA,NA,"Not in top 50","General purpose government","IOU"
NA,"SAN BERNARDINO","CA3610060","SBDNO COUNTY SERVICE AREA W-1","C","CSA",647,1515,NA,NA,"15-Jul","BDVWA - GOAT MOUNTAIN ID","CA3610060","Special Act District",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Inst. diversity paper","Annexed into larger system july 2015. Was county service area now part of special act district","Yes","No","Yes",NA,"Yes",NA,"GW","GW","GW",1300,"Community water system",NA,NA,NA,"Not in top 50","General purpose government","Special district"
"DISTRICT 13 - SAN BERNARDINO","SAN BERNARDINO","CA3610061","DWP - SUGARLOAF/ERWIN LAKE","C","City",4000,3422,"11/27/19",NA,"19-Nov","Big Bear Lake DWP - Big Bear System","CA3610044","City","source/storage capacity","Capacity",1,0,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-116.886257,34.246618,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",14368,"Community water system",NA,NA,NA,NA,"General purpose government","General purpose government"
"DISTRICT 24 - TULARE","TULARE","CA5410033","PRATT MUTUAL WATER CO","C","MWC",279,1500,NA,"16-May","16-May","City of Tulare","CA5410015","City","Arsenic","Quality",0,1,0,0,0,"SWRCB","Mandatory consolidation","Physical","Mandatory","HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/PRATT_MUTUAL.PDF",-119.355187,36.167302,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",65982,"Community water system",1023.824278,1,NA,NA,"Nonprofit private","General purpose government"
"
DISTRICT 11 - MERCED","MADERA","CA2010013","HILLVIEW WATER CO- COARSEGOLD","C","IOU",25,83,NA,"20-Jun","20-Jun","CAL AM - COARSEGOLD","CA2010013","IOU","MONITORING & REPORTING","TMF Capacity",0,0,1,0,0,"None","Managerial","Managerial","Voluntary",NA,-119.7036,37.217101,"Both",NA,NA,"No","No",NA,"Hillview",NA,"GW","GW","GW",83,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"LPA87 - YOLO COUNTY","YOLO","CA5700712","DUNNIGAN WATER WORKS","C","IOU",173,400,"16-Aug",NA,"16-Aug","CAL AM - DUNNIGAN","CA5700712","IOU","None","None",0,0,0,0,0,"None","Managerial","Managerial","Voluntary",NA,-121.953173,38.8646105,"Inst. diversity paper / tool","Dunnigan water works, an IOU was acquired by Cal am another IOU in 2015 (end)","Yes, was added to map last refresh","No","No",NA,"Yes",NA,"GW","GW","GW",400,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"
DISTRICT 11 - MERCED","MADERA","CA2010014","HILLVIEW WATER CO-GOLDSIDE","C","IOU",309,1020,NA,"20-Jun","20-Jun","CAL AM - GOLDSIDE","CA2010014","IOU","IRON, MANGANESE","Quality",0,1,0,0,0,"None","Managerial","Managerial","Voluntary",NA,-119.7172959,37.34688678,"Both",NA,NA,"No","No",NA,"Hillview",NA,"GW","GW","GW",1020,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"District 11 - Merced","MERCED","CA2410008","MEADOWBROOK WATER COMPANY OF MERCED, INC","C","Private (other)",1713,5650,NA,"Sep.2019","19-Sep","CAL AM - MEADOWBROOK","CA2410008","IOU","Coliforn","Quality",0,1,0,0,0,"None","Managerial","Managerial","Voluntary",NA,-120.5265213,37.3210238,"Tool",NA,NA,"No","No",NA,"Yes",NA,"GW","GW","GW",5650,"Community water system",NA,NA,NA,NA,"Private ancillary","IOU"
"
DISTRICT 11 - MERCED","MADERA","CA2010007","HILLVIEW WC-OAKHURST/SIERRA LAKES","C","IOU",1032,3403,NA,"20-Jun","20-Jun","CAL AM - OAKHURST","CA2010007","IOU","ARSENIC, URANIUM","Quality",0,1,0,0,0,"None","Managerial","Managerial","Voluntary",NA,-119.6491003,37.3347617,"Both",NA,NA,"No","No",NA,"Hillview",NA,"GW","GW","GW",3403,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"
DISTRICT 11 - MERCED","MADERA","CA2010012","HILLVIEW WATER CO-RAYMOND","C","IOU",96,317,NA,"20-Jun","20-Jun","CAL AM - RAYMOND","CA2010012","IOU","ARSENIC, URANIUM","Quality",0,1,0,0,0,"None","Managerial","Managerial","Voluntary",NA,-119.9060009,37.2193176,"Both",NA,NA,"No","No",NA,"Hillview",NA,"GW","GW","GW",317,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"District 09- Sacramento","SACRAMENTO","CA3410023","FRUITRIDGE VISTA WATER COMPANY","C","IOU",4761,15712,NA,"19-Nov","19-Nov","CAL AM FRUITRIDGE VISTA","CA3410023","IOU","None","None",0,0,0,0,0,"Private","Managerial","Managerial","Voluntary",NA,-121.460664,38.522295,"Tool",NA,NA,"No","No",NA,"Yes",NA,"GW","GW","GW",15385,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"LPA64 - SACRAMENTO COUNTY","SACRAMENTO","CA3400140","ASPEN GROVE MH & RV PARK","C","MHP",35,55,"7/12/18",NA,"18-Jul","Cal American Water-Rosemont","CA3410010","IOU","None","None",0,0,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-121.308278,38.585602,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",53563,"Community water system",16.72760602,2,1,NA,"Private ancillary","IOU"
"DISTRICT 06 - SANTA BARBARA","VENTURA","CA5610010","RIO PLAZA WATER COMPANY","C","IOU",516,1716,NA,"19-May","19-May","CAL AMERICAN WC - RIO PLAZA","CA5610010","IOU","None","None",0,0,0,0,0,NA,"Managerial","Managerial","Voluntary",NA,-119.1701857,34.2295363,"Tool",NA,NA,"No","No",NA,"Yes",NA,"GW","GW","GW",1716,"Community water system",1397.193477,7,NA,NA,"IOU","IOU"
"DISTRICT 24 - TULARE","TULARE","CA5400507","VISALIA/ SEQUOIA SOUTH KOA","NC","MHP",83,169,"11/20/17",NA,"17-Nov","Cal Water Service-Visalia","CA5410016","IOU","Nitrate/Bacteriological","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.406193,36.349414,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",141165,"Community water system",236.8240248,1,NA,NA,"Private ancillary","IOU"
"LPA57 - MONTEREY COUNTY","MONTEREY","CA2702624","UNI-KOOL WS","NTNC","Private (other)",6,180,"7/12/17",NA,"17-Jul","Cal-Water","CA2710010","IOU","Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.7617451,35.81280886,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",106858,"Community water system",NA,NA,NA,"Not in top 50","Private ancillary","IOU"
"LPA49 - LA COUNTY","LOS ANGELES","CA1900009","ADAMS RANCH MUTUAL","C","MWC",177,500,NA,"March.2016","16-Mar","CAL/AM WATER COMPANY - SAN MARINO","CA1910139","IOU","MONITORING & REPORTING","TMF Capacity",0,0,1,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-118.0668405,34.0873692,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",47626,"Community water system",86.62728308,2,NA,NA,"Nonprofit private","IOU"
"DISTRICT 13 - SAN BERNARDINO","SAN BERNARDINO","CA3610853","CYA-INACTIVATED 20160108","C","State",1,1,NA,"16-Jan","16-Jan","CALIFORNIA INSTITUTION FOR MEN","CA3610850","State","Coliform","Quality",0,1,0,0,0,"Other","Voluntary Consolidation","Physical","Voluntary",NA,-117.656878,33.979422,"Tool",NA,NA,"No","No","2","Yes","GWP",NA,"GWP","GW",10667,"Community water system",NA,NA,NA,NA,"Public ancillary","Public ancillary"
"LPA69 - SAN JOAQUIN COUNTY","SAN JOAQUIN","CA3900726","BENTLEY TRAILER COURT","C","MHP",28,84,"9/4/18",NA,"18-Sep","California Water Service - Stockton","CA3910001","IOU","Arsenic","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-121.258456,37.950917,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",173272,"Community water system",10.70729565,2,1,NA,"Private ancillary","IOU"
"LPA69 - SAN JOAQUIN COUNTY","SAN JOAQUIN","CA3901334","BJJ COMPANY LLC","NTNC","Private (other)",1,40,"6/19/19",NA,"19-Jun","California Water Service - Stockton","CA3910001","IOU","Arsenic","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.2613068,37.9611702,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",173272,"Community water system",NA,NA,NA,NA,"Private ancillary","IOU"
"LPA67 - SAN DIEGO COUNTY","SAN DIEGO","CA3705026","ERRECA'S ASSOCIATES","NC","Private (other)",7,25,"8/26/19",NA,"19-Aug","Lakeside WD","CA3710013","Irrigation District","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-116.9462983,32.90652,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",35500,"Community water system",512.5850887,1,NA,"PWSID was right, name wrong - changed","Private ancillary","Special district"
NA,"SOLANO","CA4810701","TRAVIS AIR FORCE BASE - DISTRIBUTION","C","Federal",2104,7190,"19-Jul",NA,"19-Jul","CALIFORNIA WATER SERVICE CO.-TRAVIS AFB","CA4810701","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Additional cases","https://www.calwater.com/latest-news/2019-0701-regulated-water-service-to-travis-air-force-base-begins/","Yes","No","Yes",NA,"Yes",NA,"SWP","SWP","SWP",7190,"Community water system",NA,NA,NA,NA,"Public ancillary","IOU"
"LPA69 - SAN JOAQUIN COUNTY","SAN JOAQUIN","CA3901330","CHEROKEE FREIGHT LINES WATER SYSTEM","NC","Private (other)",1,50,"9/19/19",NA,"19-Sep","California Water Service- Stockton","CA3910001","IOU","bacteriological","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.253866,37.991519,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",173272,"Community water system",NA,NA,NA,NA,"Private ancillary","IOU"
"DISTRICT 18 - SONOMA","SONOMA","CA4910024","GEYSERVILLE WATER WORKS","C","IOU",307,1014,NA,"16-Nov","16-Nov","CALIFORNIA-AMERICAN GEYSERVILLE","CA4910024","IOU","bacteriological","Quality",0,1,0,0,0,"Private","Managerial","Managerial","Voluntary",NA,-122.9045833,38.7070558,"Tool",NA,NA,"No","No",NA,"Yes",NA,"GW","GW","GW",1014,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"DISTRICT 18 - SONOMA","SONOMA","CA4900890","REDWOOD ADVENTIST ACADEMY","NTNC","School",3,140,NA,"17-Nov","17-Nov","CALIFORNIA-AMERICAN LARKFIELD","CA4910023","IOU","Fire impacted","Disaster",0,0,0,1,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.740314,38.502131,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",7524,"Community water system",NA,NA,NA,NA,"Public ancillary","IOU"
"DISTRICT 05 - MONTEREY","MONTEREY","CA2710706","CAMP ROBERTS WELL 6A","NC","State",6,115,"3/2/18",NA,"18-Mar","Camp Roberts-National Guard","CA2710705","State","None","None",0,0,0,0,0,"Other","Voluntary Consolidation","Physical","Voluntary",NA,-121.6681888,36.6810245,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",385,"Non-Transient non-community system",NA,NA,NA,"Not in top 50","Public ancillary","Public ancillary"
"District 11 - Merced","MERCED","CA2410306","CDPR-MEDEIROS","NC","State",3,0,"4/25/18",NA,"18-Apr","CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one)","CA2410305","State","None","None",0,0,0,0,0,"Other","Voluntary Consolidation","Physical","Voluntary",NA,-121.0236627,37.06508001,"Both","Changed system type to NC (in tool) from NP (in excel data) and also changed population served to zero was 540 listed as ish in excel data. Look into if this should be listed as regionalization",NA,"No","No","3","CDPR","SWP",NA,"SWP","SWP",171,"Transient non-community system",NA,NA,NA,NA,"Public ancillary","Public ancillary"
"District 11 - Merced","MERCED","CA2410307","CDPR-DINOSAUR POINT","NC","State",3,0,"4/25/18",NA,"18-Apr","CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one)","CA2410305","State","None","None",0,0,0,0,0,"Other","Voluntary Consolidation","Physical","Voluntary",NA,-121.211628,37.065095,"Both","Three park systems consolidated into one says excel yearly data, system type listed as NP and I changed the population served to zero to match partnerships tool data, there was a number around 300 I think in excel data originally. Look into if this shoudl be listed as regionalization",NA,"No","No","3","CDPR","SWP",NA,"SWP","SWP",171,"Transient non-community system",NA,NA,NA,NA,"Public ancillary","Public ancillary"
"District 11 - Merced","MARIPOSA","CA2202048","INDIAN FLAT R V PARK AND CAMPGROUND","NC","MHP",53,100,"3/14/17",NA,"17-Mar","Cedar Lodge Resort","CA2210900","Private (other)","TCR/Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.848992,37.661214,"Both","Excelle data sheets listed type as NP",NA,"No","No","2","Yes","GW",NA,"GW","GW",656,"Community water system",155.9817901,1,NA,NA,"Private ancillary","Private ancillary"
"District 23 - Fresno","FRESNO","CA1000207","CENTRAL WEST ARTS CENTER","C","School",7,56,"12/11/18",NA,"18-Dec","Central High School West","CA1000217","School","Nitrate","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-119.9873046,36.7647094,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",1127,"Non-Transient non-community system",1180.760907,2,NA,NA,"Public ancillary","Public ancillary"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000077","CERES WEST MHP","C","MHP",46,161,"8/21/20",NA,"20-Aug","CERES, CITY OF","CA5010028","City","Arsenic and 1,2,3-TCP MCL Drinking Water Violations","Quality",0,1,0,0,0,"Private","Mandatory consolidation","Physical","Mandatory","HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/CERES_STORY_ACC.PDF",-120.9578627,37.5657347,"Both","Excel data said system type of NP",NA,"No","No","2","Yes","GW",NA,"GW","GW",48706,"Community water system",971.3157508,5,NA,NA,"Private ancillary","General purpose government"
"District 12 - Visalia","KERN","CA1500508","TWIN PINES MOBILEHOME PARK","C","MHP",40,92,"6/5/17",NA,"17-Jun","City of Bakersfield","CA1510031","City","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.081399,35.382306,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",149796,"Community water system",15.03698165,2,1,NA,"Private ancillary","General purpose government"
"LPA37- Contra Costa County","CONTRA COSTA","CA0706108","LONE TREE MEDICAL & DENTAL","NC","Private (other)",2,45,"8/2/18",NA,"18-Aug","City of Brentwood","CA0710004","City","Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.744998,37.960949,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",65118,"Community water system",1522.171266,3,1,NA,"Private ancillary","General purpose government"
"LPA37- Contra Costa County","CONTRA COSTA","CA0707557","NEIGHBORHOOD CHURCH","NTNC","Private (other)",2,250,"4/22/19",NA,"19-Apr","City of Brentwood","CA0710004","City","Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.690034,37.931527,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",65118,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000308","B & H MANUFACTURING","NTNC","Private (other)",1,90,"3/29/17",NA,"17-Mar","City of Ceres","CA5010028","City","Arsenic, coliform","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.9658357,37.5349485,"Both","Coliform not listed on excel data but on tool, too lists coliform and arsenic as issues",NA,"No","No","2","Yes","GW",NA,"GW","GW",48706,"Community water system",4066.801696,7,NA,NA,"Private ancillary","General purpose government"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000484","UNITED PALLET SERVICES INC WATER SYSTEM","NTNC","Private (other)",5,45,"9/24/18",NA,"18-Sep","City of Ceres","CA5010028","City","Arsenic","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-120.9942852,37.5788277,"Both","Excel data said system type was NC",NA,"No","No","2","Yes","GW",NA,"GW","GW",48706,"Community water system",1280.519084,2,NA,NA,"Private ancillary","General purpose government"
"District 21 - Valley","COLUSA","CA0600011","DEL ORO WATER CO.-WALNUT RANCH","C","IOU",78,182,"4/6/17",NA,"17-Apr","City of Colusa","CA0610002","City","Arsenic/Failing wells","Multiple",1,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/delorowalnut.pdf",-122.022335,39.20228,"Both",NA,NA,"No","No","2","Yes","GWP",NA,"GWP","GW",6175,"Community water system",NA,NA,NA,NA,"IOU","General purpose government"
"LPA82 - TEHAMA COUNTY","TEHAMA","CA5200516","LAZY CORRAL MOBILE HOME PARK","C","MHP",37,103,"3/15/21",NA,"21-Mar","CITY OF CORNING","CA5210001","City","BACTERIOLOGICAL","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.1959048,39.9212578,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",7663,"Community water system",140.6128615,2,NA,NA,"Private ancillary","General purpose government"
"District 01 - Klamath","HUMBOLDT","CA1200698","MOBILE ESTATES FN","C","MHP",66,120,"6/26/17",NA,"17-Jun","City of Eureka","CA1210004","City","DBPs","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-124.063488,40.842738,"Both","Receiving system name listed as placerville city in excel data but that makes no sense and system number in web tool links to Eureka so put that",NA,"No","No","2","Yes","GW",NA,"GW","GWP",27078,"Community water system",2893.44254,2,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 04 - SAN FRANCISCO","SOLANO","CA4810037","SOLANO COUNTY CORDELIA STATE","NC","County (other)",1,30,"5/3/19",NA,"19-May","City of Fairfield","CA4810003","City","Arsenic","Quality",0,1,0,0,0,"Solano County","Voluntary Consolidation","Physical","Voluntary",NA,-122.1062682,38.2312779,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",112140,"Community water system",416.1414302,1,NA,NA,"Public ancillary","General purpose government"
"District 23 - Fresno","FRESNO","CA1000624","SUNNYSIDE MARKET","NC","Private (other)",2,429,"9/5/17",NA,"17-Sep","City of Fresno","CA1010007","City","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.6628067,36.7506917,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",541990,"Community water system",113.6821938,1,NA,NA,"Private ancillary","General purpose government"
"District 11 - Merced","FRESNO",NA,"DALEVILLE (Individual Homes)",NA,"Domestic wells",42,120,"10/1/18","Dec.2018","18-Oct","City of Fresno","CA1010007","City","Nitrate, uranium, drought supply shortages","Multiple",0,1,0,1,0,"DWR / CAA","Domestic well consolidation","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/daleville.pdf",-119.7875425,36.7665762,"Both","Changed pop and connections numbers based on story in consoldiation success story.",NA,"No","No","1P","Yes",NA,NA,"GW","SW",541990,"Community water system",NA,NA,NA,NA,"Domestic wells","General purpose government"
"District 23 - Fresno","FRESNO","CA1000276","ORANGE CENTER SCHOOL","NTNC","School",3,410,"6/27/19",NA,"19-Jun","City of Fresno","CA1010007","City","Lead","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-119.780911,36.682749,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",541990,"Community water system",325.9947466,2,NA,NA,"Public ancillary","General purpose government"
