PWS ID,PWS Name,PWS Type,Population Served Count,# of Facilities,# of Violations,# of Site Visits,Primary Source,Primary Source Code,Address Line1,Address Line2,Counties Served
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,Community water system,"1,026",9,62,9,Ground water,GW,P. O. BOX 262,,Tulare
CA4210011,SANTA MARIA WATER DEPARTMENT,Community water system,"107,407",29,5,20,Surface water purchased,SWP,2065 East Main Street,,Santa Barbara
CA2701446,LUCIA WS,Transient non-community system,50,3,3,5,Groundwater under influence of surface water,GU,,62400 HWY 1,Monterey
CA2700552,ECHO VALLEY SCHOOL WS,Non-Transient non-community system,579,6,23,11,Ground water,GW,17590 PESANTE RD,,Monterey
CA2700577,ELKHORN SCHOOL WS,Non-Transient non-community system,694,3,6,7,Ground water,GW,17590 PESANTE RD,,Monterey
CA2700705,PRUNEDALE SCHOOL WS,Non-Transient non-community system,655,3,9,10,Ground water,GW,17590 PESANTE RD,,Monterey
CA2702490,CENTRAL BAY HIGH SCHOOL WS,Non-Transient non-community system,70,2,6,10,Ground water,GW,17590 PESANTE RD,,Monterey
CA2701297,CARMEL BY THE RIVER RV PARK WS,Transient non-community system,143,4,15,6,Ground water,GW,27680 SCHULTE RD,,Monterey
CA2600530,CRYSTAL CRAG WATER & DEVELOPMENT ASSOC.,Transient non-community system,75,5,26,17,Surface water,SW,"900 EAST HARRISON AVE, G-5",,Mono
CA2701687,VALLEY OAKS MHP WS,Community water system,120,2,25,10,Ground water,GW,PO BOX 306,,Monterey
CA2400307,CRESSEY STORE,Transient non-community system,26,2,0,1,Ground water,GW,9074 N. Santa Fe Drive,,Merced
CA2701232,OLD NATIVIDAD RD WS #01,Transient non-community system,25,6,16,16,Ground water,GW,PO BOX 1547,,Monterey
CA2701935,MOUNT TORO RANCHOS MWA,Community water system,45,6,9,12,Ground water,GW,26425 LUCIE LN,,Monterey
CA2702595,CACHAGUA COMM CTR WS,Non-Transient non-community system,33,4,20,2,Surface water,SW,PO BOX 222700,,Monterey
CA2702373,PHENEGER CREEK WS,Non-Transient non-community system,219,4,7,5,Groundwater under influence of surface water,GU,HWY 1 BIG SUR VILLAGE INN,,Monterey
CA2702503,CARMEL VALLEY TENNIS CAMP WS,Transient non-community system,73,2,3,7,Ground water,GW,20805 CACHAGUA RD,,Monterey
CA2701681,EXXON STATION WS,Transient non-community system,100,2,21,8,Ground water,GW,19045 PORTOLA DRIVE SUITE F2,,Monterey
CA2400315,MERCED FRUIT BARN,Transient non-community system,63,2,0,2,Ground water,GW,4526 E. Highway 140,,Merced
CA3500581,RANCHO SAN JOAQUIN MWC,Community water system,96,4,15,6,Ground water,GW,PO Box 1654,,San Benito
CA3103283,"ROLLINS LAKE RESORT, LONG RAVINE",Transient non-community system,160,4,2,7,Ground water,GW,26909 Rollins Lake Rd.,,Placer
CA4800801,NEIL'S SERVICE CENTER,Non-Transient non-community system,170,3,2,5,Ground water,GW,5151 QUINN RD STE B,,Solano
CA3107342,LINCOLN HIGH SCHOOL FARM,Non-Transient non-community system,50,2,0,2,Ground water,GW,6001 William Ln.,,Placer
CA1502561,CHEVRON SAN JOAQUIN,Non-Transient non-community system,300,8,9,4,Surface water purchased,SWP,1546 CHINA GRADE LOOP,,Kern
CA3100014,BAKER RANCH WATER CORP,Community water system,150,4,7,16,Ground water,GW,29780 School Street,,Placer
CA5400660,LAKE SUCCESS MOBILE LODGE,Community water system,80,4,52,7,Ground water,GW,30464 HWY 190 SPACE #1A,,Tulare
CA2800297,MAXVILLE LAKE WINERY,Transient non-community system,25,4,12,9,Ground water,GW,4105 CHILE POPE VALLEY ROAD,,Napa
CA0610002,CITY OF COLUSA,Community water system,"6,175",12,2,35,Ground water,GW,425 Webster St.,,Colusa
CA4500063,CEDAR CREEK MOBILEHOME PARK,Community water system,40,4,28,8,Ground water,GW,221 CLAY STREET,,Shasta
CA4300839,SAN MARTIN LIONS CLUB,Transient non-community system,30,3,3,7,Ground water,GW,PO BOX 33,,Santa Clara
CA3710014,"OCEANSIDE, CITY OF",Community water system,"178,021",40,3,25,Surface water purchased,SWP,300 N Coast Hwy,,San Diego
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,Community water system,160,3,29,8,Ground water,GW,155 HILLTOP DRIVE,,San Benito
CA4410013,SCOTTS VALLEY WATER DISTRICT,Community water system,"10,709",25,13,25,Ground water,GW,2 Civic Center Drive,,Santa Cruz
CA1000454,VIKING RV PARK,Transient non-community system,86,2,9,5,Ground water,GW,501 W KAMM,,Fresno
CA2100519,ESTERO MUTUAL,Community water system,186,8,53,8,Surface water,SW,P.O. BOX 41,,Marin
CA1700596,BLUE LAKES VILLAGE,Community water system,65,5,27,6,Ground water,GW,5690 Dempsey Place,,Lake
CA1500478,"VALLEY ESTATES POA, INC.",Community water system,386,3,21,9,Ground water,GW,P.O. BOX 328,,Kern
CA1503669,NORTH KRANENBURG WS,Community water system,28,2,1,3,Ground water,GW,17425 AMY AVE,,Kern
CA1502600,WEGIS MUTUAL WATER COMPANY,Community water system,64,2,19,5,Ground water,GW,1640 ANGIE COURT,,Kern
CA4901278,CLINE CELLARS,Non-Transient non-community system,500,3,5,2,Ground water,GW,24737 Arnold Drive,,Sonoma
CA4901310,JACUZZI WINERY,Transient non-community system,108,3,2,1,Ground water,GW,24737 Arnold Drive,,Sonoma
CA5500141,CAMP TAWONGA,Transient non-community system,465,3,1,8,Ground water,GW,"131 STEUART STREET, SUITE 460",,Tuolumne
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,Community water system,"1,300",5,3,14,Surface water,SW,P.O. BOX 250,,El Dorado
CA1200710,VIEW CREST LODGE,Transient non-community system,168,3,41,8,Ground water,GW,3415 Patricks Point Dr.,,Humboldt
CA4901419,J. RICKARDS WINERY,Transient non-community system,35,2,0,1,Ground water,GW,24505 Chianti Road,,Sonoma
CA1910154,CITY OF SOUTH PASADENA,Community water system,"26,174",20,3,18,Surface water purchased,SWP,825 MISSION STREET,,Los Angeles
CA2300629,POMO CAMPGROUND,Transient non-community system,200,7,1,3,Ground water,GW,17999 TREGONING LANE,,Mendocino
CA1000282,SCE/CAMP EDISON-SHAVER,Transient non-community system,200,6,6,6,Ground water,GW,P O BOX 600,HIGHWAY 168,Fresno
CA2701789,HOLLY HILLS MWC,Community water system,108,5,10,10,Ground water,GW,19250 REAVIS WAY,,Monterey
CA2700606,HIDDEN VIEWS MHP WS,Community water system,75,3,33,12,Ground water,GW,60321 JOLON RD,,Monterey
CA1010007,CITY OF FRESNO,Community water system,"541,990",849,11,66,Surface water,SW,1910 EAST UNIVERSITY AVE.,,Fresno
CA4901244,HUMANE SOCIETY OF SONOMA COUNTY,Non-Transient non-community system,25,4,2,4,Ground water,GW,P.O. Box 1296,,Sonoma
CA0605012,ADAM'S VEGETABLE OILS,Non-Transient non-community system,99,4,4,1,Ground water,GW,P.O. Box 956,7301 John Galt Way,Colusa
CA0810003,BERTSCH OCEAN VIEW CSD,Community water system,"1,600",3,1,13,Ground water purchased,GWP,"900 Northcrest Drive, #256",,Del Norte
CA4200630,LOS PRIETOS BOY'S CAMP,Non-Transient non-community system,68,4,9,10,Ground water,GW,1105 SANTA BARBARA STREET,,Santa Barbara
CA1500341,SIERRA BELLA MUTUAL WATER COMPANY,Community water system,60,12,3,6,Ground water,GW,P.O Box 3694,,Kern
CA4200618,MIDLAND SCHOOL,Community water system,300,7,12,9,Ground water,GW,P.O. BOX 8,,Santa Barbara
CA3610850,CALIFORNIA INSTITUTION FOR MEN,Community water system,"10,667",13,13,15,Ground water,GW,14901 SOUTH CENTRAL AVENUE,,San Bernardino
CA4900946,TRENTADUE WINERY,Transient non-community system,50,3,15,2,Ground water,GW,19170 Geyserville Avenue,,Sonoma
CA2701279,COASTLANDS MWS (POST CREEK),Community water system,129,7,12,6,Surface water,SW,48280 HWY 1,,Monterey
CA2700548,DOLAN RD MWC,Community water system,120,3,20,9,Ground water,GW,800 DOLAN ROAD,,Monterey
CA2701837,MERIDIAN RD WS #09,Non-Transient non-community system,37,3,26,11,Ground water,GW,8 CROW CANYON CT #100,,Monterey
CA2702551,LOMA VISTA INN WS,Transient non-community system,70,2,12,6,Ground water,GW,47540 HWY 1,,Monterey
CA2701152,FLORICULTURA PACIFIC WS,Non-Transient non-community system,125,4,5,5,Ground water,GW,,25425 ESPERANZA RD,Monterey
CA2700738,SAN MIGUEL WS #01,Community water system,100,5,76,12,Ground water,GW,17140 WILSON WAY,,Monterey
CA2701814,PRUNEDALE PLAZA WS,Transient non-community system,90,3,9,8,Ground water,GW,,6831 JOSHUA DR,Monterey
CA2701956,PIONEER PLACE MWS,Community water system,66,3,21,15,Ground water,GW,PO BOX 331,,Monterey
CA4200973,FOLDED HILLS WINERY,Transient non-community system,235,2,0,1,Ground water,GW,2323 OLD COAST HIGHWAY,,Santa Barbara
CA2000890,HOUNDS TOOTH INN,Transient non-community system,30,11,9,5,Ground water,GW,42071 HIGHWAY 41,,Madera
CA2000817,SUGAR PINE PIZZA,Transient non-community system,102,12,11,11,Ground water,GW,42071 HIGHWAY 41,,Madera
CA2300518,NELSON FAMILY VINEYARDS,Non-Transient non-community system,27,2,0,0,Groundwater under influence of surface water,GU,550 Nelson Ranch Road,,Mendocino
CA2800066,MIRA WINERY,Transient non-community system,25,2,0,1,Ground water,GW,6170 Washington Street,,Napa
CA1800585,LASSEN COMMUNITY COLLEGE DIST.,Non-Transient non-community system,"1,375",8,7,11,Ground water,GW,P.O. Box 3000,478-200 HWY 139,Lassen
CA5000372,STORER TRANSPORTATION,Non-Transient non-community system,40,4,21,13,Ground water,GW,3519  MCDONALD AVE,,Stanislaus
CA0900603,ECHO PEAK WATER ASSOCIATION,Transient non-community system,73,2,11,5,Ground water,GW,P.O. BOX 462,,El Dorado
CA0706049,ALOHA CLUB,Transient non-community system,60,4,18,19,Ground water,GW,1432 MARTIN LUTHER KING JR WY.,,Contra Costa
CA3601027,APPLE VALLEY FAITH CENTER,Transient non-community system,30,3,2,43,Ground water,GW,19923 Bear Valley Rd,,San Bernardino
CA2701742,CALIFORNIA ORCHARD WS,Community water system,150,12,14,13,Ground water,GW,PO BOX 686,,Monterey
CA2701403,PINE ST WS #01,Community water system,36,5,4,11,Ground water,GW,976 LAS FLORES ST,,Monterey
CA2701036,APPLE AVE WS #03,Community water system,60,2,62,12,Ground water,GW,PO BOX 335,,Monterey
CA2702609,SAN SABA WINERY WS,Transient non-community system,29,2,1,6,Ground water,GW,,35801 FOOTHILL RD,Monterey
CA2701630,PRUNEDALE CHEVRON WS,Transient non-community system,25,2,7,10,Ground water,GW,8695 PRUNEDALE N RD,,Monterey
CA2700998,BUD ANTLE MARINA WS,Non-Transient non-community system,151,5,21,9,Ground water,GW,PO BOX 2018,,Monterey
CA5000516,COVENANT GROVE CHURCH,Transient non-community system,25,2,0,13,Ground water,GW,4825  ROSELLE AVE,,Stanislaus
CA5000346,NINO'S PLACE WATER SYSTEM,Transient non-community system,25,2,6,11,Ground water,GW,416  HOSMER AVE,,Stanislaus
CA3600597,PALI OVERNIGHT ADVENTURES,Non-Transient non-community system,50,8,2,39,Ground water,GW,PO Box 2237,,San Bernardino
CA0900623,TAHOE TRAVEL INN,Transient non-community system,104,3,11,4,Ground water,GW,3536 LAKE TAHOE BLVD,,El Dorado
CA0900553,BEVERLY LODGE,Transient non-community system,25,3,10,5,Ground water,GW,3480 LAKE TAHOE BLVD,,El Dorado
CA0900535,PINEWOOD INN,Transient non-community system,70,3,6,7,Ground water,GW,3818 LAKE TAHOE BLVD,,El Dorado
CA2701498,HARBOR VIEW WA,Community water system,75,2,22,12,Ground water,GW,29 LONG VALLEY RD,,Monterey
CA2701820,CORDA RD WS,Community water system,60,2,21,10,Ground water,GW,580 SAN JUAN GRADE RD,,Monterey
CA5000502,RESENDIZ FRUIT BARN,Transient non-community system,25,2,2,11,Ground water,GW,4342  GEER RD,,Stanislaus
CA5000368,MABLE AVE BAPTIST CHURCH,Transient non-community system,50,2,5,9,Ground water,GW,2053  HADDON AVE,,Stanislaus
CA4901401,LANCASTER ESTATE WINERY,Transient non-community system,40,3,0,1,Ground water,GW,15001 Chalk Hill Road,,Sonoma
CA3200123,BOURBON & WATER CO,Transient non-community system,25,3,5,7,Ground water,GW,Bourbon & Water C/O: John Clemmens,6219 Oakridge Way,Plumas
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,Non-Transient non-community system,82,5,8,9,Ground water,GW,4501 PLEASANTON AVENUE,,Alameda
CA1000053,LANARE COMMUNITY SERVICES DIST,Community water system,660,8,58,13,Ground water,GW,P.O. Box 292,,Fresno
CA0910019,LAKESIDE PARK ASSOCIATION,Community water system,"1,554",6,2,14,Surface water,SW,4077 Pine Boulevard,,El Dorado
CA0706055,TUGS,Transient non-community system,70,2,11,17,Ground water,GW,PO BOX 1486,,Contra Costa
CA0707519,DUTCH SLOUGH WATER WORKS,Community water system,49,2,6,20,Ground water,GW,PO BOX 1417,,Contra Costa
CA0707597,SANDY POINT MOBILE HOME PARK,Community water system,67,2,7,20,Ground water,GW,PO BOX 1417,,Contra Costa
CA5000101,CHATOM SCHOOL (EH),Non-Transient non-community system,500,2,4,12,Ground water,GW,7201  CLAYTON RD,,Stanislaus
CA0900562,HEATHER LAKE ROAD TRACT,Transient non-community system,39,3,4,5,Ground water,GW,"3351 LAKE TAHOE BLVD, STE 8",,El Dorado
CA5103335,LIVE OAK CHILD CARE CENTER,Non-Transient non-community system,50,6,26,14,Ground water,GW,1990 Archer Ave.,,Sutter
CA1000565,USDA AGRICULTURAL RESEARCH SERVICE,Non-Transient non-community system,130,2,4,3,Ground water,GW,9611 S. Riverbend,,Fresno
CA2400062,SNELLING MERCED FALLS SCHOOL,Non-Transient non-community system,85,2,2,4,Ground water,GW,16099 N. HWY 59,,Merced
CA5510851,CDCR - SIERRA CONSERVATION CENTER,Community water system,"3,885",3,14,9,Surface water,SW,5100 O'Byrnes Ferry Road,,Tuolumne
CA1009120,RAU DAIRY,Community water system,105,3,31,7,Ground water,GW,P.O. Box 430,,Fresno
CA2400250,MINTURN HULLER,Transient non-community system,95,2,2,2,Ground water,GW,P.O. Box 760,,Merced
CA0600003,GRIMES BOAT AND LANDING,Transient non-community system,50,2,0,4,Ground water,GW,P.O. Box 190,,Colusa
CA2400085,FIREBAUGH TRAVEL PLAZA (SW),Transient non-community system,250,6,24,3,Surface water,SW,605 CONTRA COSTA BLVD,,Merced
CA0900560,FLL MUTUAL,Transient non-community system,100,4,28,4,Ground water,GW,339 LA CUESTA,,El Dorado
CA5000383,TAQUERIA RANCHO ALEGRE,Transient non-community system,26,5,11,13,Ground water,GW,212  LAVENDER LN,,Stanislaus
CA2300591,PINE MOUNTAIN MUTUAL WATER CO.,Community water system,310,13,7,8,Surface water,SW,3800 Chinquapin Drive,,Mendocino
CA2300620,SEAFOAM LODGE,Transient non-community system,56,4,8,3,Ground water,GW,6751 North Highway 1,,Mendocino
CA0605002,MORNING STAR PKG. CO.-WMS.,Non-Transient non-community system,390,5,1,8,Ground water,GW,2211 Old Highway 99 West,,Colusa
CA3600532,CAMP SKY MEADOWS,Transient non-community system,150,3,24,30,Ground water,GW,3191 Radford Camp Rd.,,San Bernardino
CA1000244,SHADY LAKES MOBILE HOME PARK,Community water system,160,5,17,10,Ground water,GW,"6653 Embarcadero Drive,Suite C",,Fresno
CA4200872,VENTUCOPA,Transient non-community system,25,3,6,9,Ground water,GW,4850 HIGHWAY 33,,Santa Barbara
CA5400526,"WESPAK, INC.",Non-Transient non-community system,53,7,18,9,Ground water,GW,4572 Avenue 400,,Tulare
CA2300958,PENNYROYAL FARM,Transient non-community system,30,3,0,1,Ground water,GW,P.O. Box 714,,Mendocino
CA0900631,CAMP CONCORD,Transient non-community system,69,3,10,5,Ground water,GW,1950 PARKSIDE DR MS 10,,El Dorado
CA3301222,DOWLING FRUIT ORCHARD,Transient non-community system,220,4,6,7,Ground water,GW,P.O. BOX 412,,Riverside
CA3600149,"OG INVESTMENTS, LLC",Transient non-community system,500,7,4,37,Ground water,GW,38392 Oak Glen Road,,San Bernardino
CA4010016,LOS OSOS COMMUNITY SERVICES DISTRICT,Community water system,"7,086",21,2,21,Ground water,GW,2122 9th Street Suite 110,,San Luis Obispo
CA3600386,FOOTHILL ESTATES MHP,Community water system,135,3,4,39,Ground water,GW,"Foothill Estates MHP, LLC",9454 Wilshire Blvd. Penthouse,San Bernardino
CA3303090,MISSION CREEK PRESERVE,Transient non-community system,30,2,9,5,Ground water,GW,51010 PIPES CANYON ROAD,,Riverside
CA5200540,REEDS CREEK SCHOOL,Non-Transient non-community system,196,2,1,8,Ground water,GW,18335 Johnson Road,,Tehama
CA0300088,BLACK CHASM CAVERN,Transient non-community system,112,3,3,5,Ground water,GW,P.O. Box 555,,Amador
CA5301002,LEWISTON COMMUNITY SERVICES DISTRICT,Community water system,701,16,35,23,Surface water,SW,PO Box 164,,Trinity
CA2300625,INN AT SCHOOLHOUSE CREEK,Transient non-community system,77,7,24,2,Ground water,GW,"220 S. California Avenue, Ste. 220",,Mendocino
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,Community water system,"9,600",20,0,27,Surface water,SW,583 E. SACRAMENTO ST.,,Los Angeles
CA5500148,CHINESE CAMP SCHOOL,Non-Transient non-community system,35,3,5,13,Ground water,GW,18299 5th Avenue,,Tuolumne
CA1503305,EL TACO LOCO,Transient non-community system,300,6,6,17,Ground water,GW,"c/o ZACHARY AVENUE, LLC",17215 ZACHARY AVENUE,Kern
CA2400328,GARCIA FARMS PRODUCE,Transient non-community system,45,2,0,2,Ground water,GW,12100 W. Westside Blvd.,,Merced
CA3103835,LAKEVIEW HILLS COMMUNITY ASSOC,Community water system,499,2,3,4,Surface water,SW,8280 South Lake Circle,,Placer
CA4200944,SHOESTRING WINERY,Transient non-community system,50,2,0,3,Ground water,GW,800 EAST HIGHWAY 246,,Santa Barbara
CA2000966,SIERRA PINES CHURCH,Transient non-community system,300,2,0,1,Ground water,GW,40855 COVEY COURT,,Madera
CA4900912,SALT & STONE RESTAURANT,Transient non-community system,80,4,1,2,Ground water,GW,P.O. Box 919,,Sonoma
CA4210013,SOLVANG WATER DIVISION,Community water system,"5,792",19,12,21,Surface water purchased,SWP,1644 Oak Street,,Santa Barbara
CA3301939,JEWEL DATE CO. INC.,Non-Transient non-community system,88,6,7,8,Ground water,GW,84675 AVE 60,,Riverside
CA3301373,OASIS DATE GARDENS,Non-Transient non-community system,832,2,35,20,Ground water,GW,59111 HWY 111,,Riverside
CA3301935,"BAGDASARIAN PACKING THERMAL, LLC",Non-Transient non-community system,250,3,17,14,Ground water,GW,88-100 AVE 58,,Riverside
CA3301143,CENTRO MEDICO OASIS,Non-Transient non-community system,122,4,4,3,Ground water,GW,88-775 AVE 76,,Riverside
CA1503684,148 EAST WATER SYSTEM,Community water system,36,2,3,2,Ground water,GW,P.O. BOX 1390,,Kern
CA3901304,ENCLAVE AT THE DELTA,Community water system,39,4,16,43,Ground water,GW,4951 E EIGHT MILE ROAD,,San Joaquin
CA5500360,SIERRA PACIFIC INDUSTRIES,Non-Transient non-community system,130,3,2,2,Ground water,GW,14333 Perricone Road,,Tuolumne
CA2300953,BOONVILLE HOTEL,Transient non-community system,25,3,0,1,Ground water,GW,P.O Box 326,,Mendocino
CA2300954,OFFSTREET STUDIOS,Transient non-community system,25,3,0,2,Ground water,GW,P.O Box 326,,Mendocino
CA4600066,THE LURE,Transient non-community system,55,4,24,5,Ground water,GW,100 Lure Bridge Lane,,Sierra
CA2702539,SCHEID VINEYARD WS,Non-Transient non-community system,105,3,10,10,Ground water,GW,1972 HOBSON AVE,,Monterey
CA2702575,TREE BONES RESORT WS,Transient non-community system,25,2,5,19,Ground water,GW,71895 HWY 1,,Monterey
CA2702544,SANCTUARY BIBLE CHURCH WS,Transient non-community system,25,2,12,7,Ground water,GW,8340 CARMEL VALLEY RD,,Monterey
CA5100172,ENCINAL ELEMENTARY SCHOOL,Non-Transient non-community system,128,4,20,8,Ground water,GW,2201 Pennington Rd.,,Sutter
CA1910079,"LYNWOOD-CITY, WATER DEPT.",Community water system,"66,967",27,7,69,Surface water purchased,SWP,11330 Bullis Road,,Los Angeles
CA1105007,"FARMERS BREWING CO.,LLC",Transient non-community system,25,2,0,1,Ground water,GW,880 County Road WW,,Glenn
CA3710002,VALLECITOS WD,Community water system,"105,513",8,0,12,Surface water purchased,SWP,201 VALLECITOS DE ORO,,San Diego
CA5403200,OL' BUCKAROO,Transient non-community system,25,4,0,2,Surface water,SW,41695 SIERRA DR.,,Tulare
CA5403089,GRUMPY BEARS RETREAT,Transient non-community system,30,4,15,1,Ground water,GW,107069 KENNEDY MEADOWS ROAD,,Tulare
CA2210922,YOSEMITE RESORT PROPERTIES,Transient non-community system,35,10,4,7,Ground water,GW,2 NORTH LAKE AVENUE SUITE 830,,Mariposa
CA1000541,FRESNO VALVES & CASTINGS,Non-Transient non-community system,190,3,5,9,Ground water,GW,P.O. Box 40,,Fresno
CA4010019,TEMPLETON CSD,Community water system,"9,322",46,2,19,Ground water,GW,PO Box 780,,San Luis Obispo
CA1000529,NEW HOPE COMMUNITY CHURCH,Transient non-community system,204,4,1,7,Ground water,GW,4620 E. Nees,,Fresno
CA3301990,AMEZCUA - GARCIA WATER,Community water system,316,2,17,11,Ground water,GW,P.O. BOX 110,,Riverside
CA3301642,RIVER OASIS,Transient non-community system,96,2,41,10,Ground water,GW,5920 COLORADO RIVER RD,,Riverside
CA1502607,PIUTE MOUNTAIN SCHOOL WATER,Non-Transient non-community system,50,4,9,7,Ground water,GW,12400 CALIENTE CREEK RD.,,Kern
CA2000609,RED TOP MARKET,Transient non-community system,100,16,5,15,Ground water,GW,22794 Road 4,,Madera
CA2800034,HONIG WINERY,Non-Transient non-community system,25,3,0,5,Ground water,GW,850 RUTHERFORD ROAD,,Napa
CA4901400,TRATTORE WINERY,Transient non-community system,45,3,1,0,Ground water,GW,7700 Dry Creek Road,,Sonoma
CA1510002,BORON CSD,Community water system,"2,253",6,57,7,Surface water purchased,SWP,P.O. BOX 1060,,Kern
CA4100552,OPTIMISTS VOLUNTEERS FOR YOUTH,Transient non-community system,200,6,2,6,Ground water,GW,5360 La Honda Road,,San Mateo
CA3610041,SAN GABRIEL VALLEY WC - FONTANA,Community water system,"237,000",100,0,17,Surface water,SW,P.O. Box 987,,San Bernardino
CA1910034,"DOWNEY - CITY, WATER DEPT.",Community water system,"112,214",39,5,47,Ground water,GW,11111 Brookshire Ave.,,Los Angeles
CA2000619,COLD SPRING GRANITE CO RAYMOND,Non-Transient non-community system,43,33,66,7,Ground water,GW,36772 Road 606,,Madera
CA5305004,RUTH LAKE RECREATION AREA,Transient non-community system,252,4,2,10,Ground water,GW,12200 Mad River Rd.,,Trinity
CA5305003,RUTH LAKE MARINA,Transient non-community system,202,4,1,10,Ground water,GW,12200 Mad River Rd.,,Trinity
CA3510002,"SAN JUAN BAUTISTA, CITY OF",Community water system,"2,335",14,9,14,Ground water,GW,PO Box 1420,,San Benito
CA2702607,MCCAHON FLORAL WS,Non-Transient non-community system,29,2,7,6,Ground water,GW,1400 SAN JUAN RD,,Monterey
CA4900897,RODNEY STRONG VINEYARDS,Non-Transient non-community system,154,16,34,2,Ground water,GW,P.O. BOX 6010,,Sonoma
CA3600205,REDLANDS COLONY PIPELINE ASSOCIATION,Transient non-community system,25,3,4,12,Ground water,GW,6017 Boeing Pl,,San Bernardino
CA3600209,ROCKY COMFORT MUTUAL WATER CO,Community water system,160,3,15,34,Surface water purchased,SWP,2402 Mill Creek Road,,San Bernardino
CA3600483,BIG PINE FLATS ADMIN & RECREATION,Transient non-community system,35,3,0,24,Ground water,GW,40650 North Shore Lane,PO Box 365,San Bernardino
CA3600537,YMCA CAMP TA TA POCHON,Transient non-community system,170,2,27,34,Ground water,GW,401 E Corto Street,,San Bernardino
CA3600588,YMCA CAMP WHITTLE,Transient non-community system,"1,000",7,3,31,Ground water,GW,P.O. Box 70,,San Bernardino
CA3600777,CAMP ROUND MEADOW,Transient non-community system,140,2,2,36,Ground water,GW,P.O. Box 70,,San Bernardino
CA2700787,VEGA RD WS #01,Community water system,438,9,10,11,Ground water,GW,136 SAN JUAN ROAD,,Monterey
CA2700771,SPRINGFIELD WATER COMPANY,Community water system,200,2,101,11,Ground water,GW,136 SAN JUAN ROAD,,Monterey
CA2701515,MOSS LANDING HARBOR WS,Community water system,402,7,5,9,Ground water,GW,136 SAN JUAN ROAD,,Monterey
